species,n_date,n_loc
Anania verbascalis,432,247
Anarta myrtilli,1422,506
Anarta trifolii,1450,1099
Anas acuta,4862,1234
Anas bahamensis,426,208
Anas carolinensis,452,86
Anas crecca,5843,1613
Anas platyrhynchos,5844,2102
Anasimyia contracta,436,322
Anasimyia interpunctus,389,205
Anasimyia transfuga,594,378
Anatis ocellata,1251,775
Anax imperator,2309,2008
Anax parthenope,1302,1162
Anchomenus dorsalis,580,381
Anchusa officinalis,2559,757
Ancylis achatana,484,551
Ancylis apicella,504,256
Ancylis laetana,501,294
Ancylis mitterbacheriana,469,406
Ancylis obtusana,446,429
Ancylis unculana,597,329
Andrena barbilabris,886,965
Andrena bicolor,1184,883
Andrena carantonica,656,642
Andrena chrysosceles,731,486
Andrena cineraria,727,700
Andrena clarkella,635,691
Andrena denticulata,628,786
Andrena dorsata,937,966
Andrena flavipes,1675,1436
Andrena florea,562,192
Andrena fulva,1003,1445
Andrena fuscipes,571,302
Andrena gravida,462,243
Andrena haemorrhoa,1159,1748
Andrena hattorfiana,585,75
Andrena labiata,383,273
Andrena nigroaenea,559,547
Andrena nitida,940,1191
Andrena praecox,355,342
Andrena proxima,443,402
Andrena rosae,568,176
Andrena tibialis,476,433
Andrena vaga,1133,1152
Andrena ventralis,562,585
Andricus aries,1785,538
Andricus curvator,1477,782
Andricus foecundatrix,2758,1318
Andricus inflator,471,297
Andricus kollari,3794,1488
Andricus lignicolus,1376,566
Andricus quercuscalicis,1321,816
Andromeda polifolia,1849,179
Anelosimus vittatus,794,461
Anemone apennina,407,67
Anemone blanda,768,694
Anemone nemorosa,2069,1153
Anemone ranunculoides,612,173
Anerastia lotella,472,211
Aneura pinguis,521,221
Angelica archangelica,2002,508
Angelica sylvestris,3886,1545
Angerona prunaria,501,290
Anguilla anguilla,2783,1178
Anguis fragilis,3344,469
Anisodactylus binotatus,888,804
Anisomeridium polypori,847,473
Anisosticta novemdecimpunctata,1640,829
Anisus vortex,1093,816
Anodonta anatina,1142,603
Anodonta cygnea,1695,787
Anomala dubia,719,740
Anomoia purmunda,799,556
Anoplius infuscatus,525,409
Anoplius viaticus,1198,472
Anoplotrupes stercorosus,1224,411
Anorthoa munda,967,812
Anser albifrons,5668,1781
Anser anser,5844,2068
Anser anser x Branta canadensis,1648,645
Anser brachyrhynchus,2671,1032
Anser caerulescens,2762,459
Anser canagicus,403,151
Anser erythropus,2823,402
Anser fabalis,358,147
Anser indicus,5268,935
Anser rossii,996,291
Anser serrirostris,3258,1545
Anthemis arvensis,804,230
Anthemis cotula,320,95
Anthidiellum strigatum,442,301
Anthidium manicatum,1181,1129
Anthidium punctatum,357,107
Anthocharis cardamines,1255,1921
Anthocomus equestris,382,305
Anthocomus rufus,666,674
Anthocoris nemorum,2035,1026
Anthomyia procellaris,1152,921
Anthonomus rectirostris,365,319
Anthonomus rubi,308,201
Anthophila fabriciana,2175,1597
Anthophila nemorana,641,489
Anthophora furcata,783,585
Anthophora plumipes,939,755
Anthoxanthum aristatum,784,245
Anthoxanthum nitens,785,180
Anthoxanthum odoratum,2672,1761
Anthrax anthrax,1070,1021
Anthrenus verbasci,300,217
Anthriscus caucalis,1347,476
Anthriscus sylvestris,5386,2063
Anthropoides virgo,314,87
Anthus campestris,530,283
Anthus cervinus,412,207
Anthus petrosus,3166,441
Anthus pratensis,5841,2100
Anthus richardi,897,303
Anthus spinoletta,3023,947
Anthus trivialis,3222,1438
Anthyllis vulneraria,2048,633
Anticlea badiata,340,65
Antipalus varipes,393,179
Antirrhinum majus,1169,569
Anyphaena accentuata,2391,1109
Apamea crenata,525,564
Apamea lithoxylaea,493,560
Apamea monoglypha,1345,1526
Apamea sordens,697,723
Apamea unanimis,332,413
Apatura iris,760,780
Apechthis compunctor,567,516
Apeira syringaria,530,500
Apera spica-venti,825,490
Aphanes arvensis,529,144
Aphanes australis,2976,1174
Aphantopus hyperantus,1026,1109
Aphidecta obliterata,1039,561
Aphomia sociella,1902,1352
Aphrophora alni,1214,885
Aphrophora major,446,134
Aphrophora salicina,598,585
Aphthona nonstriata,584,370
Apioperdon pyriforme,1340,625
Apis mellifera,3786,2043
Apium graveolens,1380,410
Aplocera efformata,604,228
