species,n_date,n_loc
Euspira nitida,999,120
Euthrix potatoria,2755,1472
Eutolmus rufibarbis,1074,962
Eutomostethus ephippium,931,867
Eutonia barbipes,888,590
Euxoa tritici,317,154
Euzophera pinguis,765,581
Evarcha falcata,725,393
Evergestis extimalis,1493,1110
Evergestis forficalis,1384,917
Evergestis limbata,992,670
Evergestis pallidata,1248,819
Evernia prunastri,3241,1286
Exhyalanthrax afer,386,67
Exidia glandulosa,1877,1000
Exidia nigricans,1540,896
Exobasidium vaccinii,386,105
Exoprosopa capucina,377,151
Eysarcoris venustissimus,1294,582
Fabriciana niobe,1031,87
Fabulina fabula,1283,107
Fagisyrphus cincta,590,526
Fagopyrum esculentum,1699,1581
Fagus sylvatica,4992,1671
Falcaria lacertinaria,1481,675
Falco columbarius,3060,968
Falco peregrinus,5842,1757
Falco subbuteo,2983,1659
Falco tinnunculus,5844,2120
Falco vespertinus,738,568
Fallopia baldschuanica,834,336
Fallopia convolvulus,2279,1391
Fallopia dumetorum,1565,900
Faxonius limosus,1980,893
Faxonius virilis,800,134
Felis catus,3936,1615
Ferdinandea cuprea,1189,727
Festuca bromoides,570,361
Festuca filiformis,1814,744
Festuca rubra,3376,1876
Ficaria verna,2775,1939
Ficedula hypoleuca,2707,1531
Ficedula parva,378,103
Ficus carica,610,188
Fieberiella florii,824,386
Filago germanica,1901,627
Filipendula ulmaria,3858,1587
Filipendula vulgaris,332,162
Fissidens adianthoides,442,154
Fissidens taxifolius,1140,486
Fistulina hepatica,1660,1004
Flammulina velutipes,879,602
Flavoparmelia caperata,3138,1239
Flavoparmelia soredians,2329,1110
Flavoplaca arcis,617,375
Flavoplaca citrina,1536,847
Flavoplaca dichroa,327,216
Flavoplaca flavocitrina,1128,691
Flavoplaca limonia,461,313
Flavoplaca marina,309,55
Flavoplaca maritima,861,181
Flavoplaca oasis,1293,761
Flavoplaca ruderum,1021,538
Foeniculum vulgare,1742,912
Fomes fomentarius,4341,1400
Fomitiporia hippophaeicola,576,111
Fomitopsis betulina,3990,1428
Fomitopsis pinicola,3280,1010
Fomoria septembrella,428,274
Fontinalis antipyretica,536,213
Forficula auricularia,3081,1769
Formica fusca,1403,684
Formica polyctena,556,299
Formica pratensis,727,248
Formica rufa,771,329
Formica sanguinea,1054,351
Fragaria vesca,2870,821
Frangula alnus,3726,1482
Fraxinus excelsior,4641,1817
Fringilla coelebs,5844,2124
Fringilla montifringilla,3629,1754
Fritillaria meleagris,876,830
Frullania dilatata,2206,953
Fucus spiralis,913,201
Fucus vesiculosus,1379,231
Fulica atra,5844,2060
Fuligo septica,2392,1365
Fulmarus glacialis,548,171
Fumaria capreolata,589,170
Fumaria muralis,1016,385
Fumaria officinalis,2414,963
Funaria hygrometrica,1611,1087
Furcula bicuspis,410,299
Furcula bifida,470,325
Furcula furcula,1113,836
Gadus morhua,513,114
Gagea lutea,636,90
Gagea pratensis,561,87
Galanthus elwesii,802,400
Galanthus nivalis,1772,1573
Galanthus woronowii,554,314
Galba truncatula,325,227
Galega officinalis,555,193
Galeopsis bifida,1296,877
Galeopsis bifida × tetrahit,1151,837
Galeopsis segetum,467,89
Galeopsis speciosa,704,240
Galeopsis tetrahit,3107,1589
Galeruca tanaceti,1062,444
Galerucella nymphaeae,574,361
Galinsoga parviflora,2573,1264
Galinsoga quadriradiata,3240,1715
Galium aparine,5044,2016
Galium mollugo,4303,1703
Galium murale,332,105
Galium odoratum,2367,1060
Galium palustre,3336,1577
Galium saxatile,3215,556
Galium uliginosum,1340,425
Galium verum,3234,1200
Galleria mellonella,645,576
Gallinago gallinago,5741,1627
Gallinula chloropus,5844,2045
Gammarus pulex,500,449
Gammarus tigrinus,554,539
Gamochaeta pensylvanica,576,145
Ganoderma adspersum,2282,1351
Ganoderma lucidum,489,218
Ganoderma resinaceum,1707,760
Gargara genistae,368,113
Garrulus glandarius,5844,2068
Gasterosteus aculeatus,3522,1313
Gastrodes grossipes,1141,468
Gastrolepta anthracina,300,281
Gastrophysa polygoni,888,805
Gastrophysa viridula,2041,1390
Gavia arctica,1819,274
Gavia immer,1725,263
Gavia stellata,3299,368
Geastrum coronatum,679,169
Geastrum fimbriatum,756,358
Geastrum minimum,489,70
Geastrum pectinatum,401,124
Geastrum striatum,957,223
Geastrum triplex,2499,1162
Gelis areator,363,223
Gelochelidon nilotica,838,187
Gemmabryum dichotomum,371,255
Genista anglica,3241,593
Genista pilosa,1970,377
Genista tinctoria,1133,129
Gentiana pneumonanthe,2146,453
Geometra papilionaria,1102,1078
Geomyza tripunctata,595,444
Geranium columbinum,396,68
Geranium dissectum,3755,1600
Geranium endressii,815,528
Geranium lucidum,2335,858
Geranium macrorrhizum,1583,926
Geranium molle,4671,1942
Geranium nodosum,1310,663
Geranium phaeum,1856,1021
Geranium pratense,1835,922
Geranium purpureum,763,271
Geranium pusillum,3859,1642
Geranium pyrenaicum,3018,1405
Geranium robertianum,5088,1948
Geranium rotundifolium,1561,506
Geranium sanguineum,999,630
Geranium wallichianum,339,240
Gerris argentatus,352,297
Gerris lacustris,528,482
Geum macrophyllum,1973,695
Geum rivale,672,335
Geum urbanum,4792,1696
Gibbaranea gibbosa,1199,474
Gillmeria ochrodactyla,367,274
Glaucium flavum,1857,103
Glaucomaria carpinea,2059,1072
Glebionis coronaria,597,520
Glebionis segetum,2149,1348
Glechoma hederacea,5355,2063
Gleditsia triacanthos,338,209
Gliophorus psittacinus,686,288
Glischrochilus quadrisignatus,801,903
Globia sparganii,805,785
Gloeophyllum sepiarium,1049,469
Glomeris marginata,826,175
Glossiphonia complanata,300,420
Gluphisia crenata,732,608
Glyceria fluitans,3177,1502
Glyceria maxima,3386,1504
Glyphipterix simpliciella,416,574
Glyphipterix thrasonella,523,446
Glyphotaelius pellucidus,2142,1369
Gnaphalium sylvaticum,1575,336
Gnaphalium uliginosum,2612,1552
Gobio gobio,2177,862
Gomphidius roseus,463,251
Gomphus pulchellus,924,362
Gomphus vulgatissimus,938,278
Gonepteryx rhamni,4072,2074
Gonioctena olivacea,567,204
Gonioctena viminalis,580,255
Gonocerus acuteangulatus,3208,1691
Gonocerus juniperi,555,192
Goodyera repens,1296,64
Gortyna flavago,583,432
Gorytes laticinctus,454,396
Gracillaria syringella,1010,546
Grammoptera ruficornis,822,1154
Grammotaulius nigropunctatus,630,405
Graphis scripta,2127,751
Graphocephala fennahi,1586,954
Graphoderus cinereus,354,256
Grapholita compositella,900,628
Graphomya maculata,1576,1412
Graphopsocus cruciatus,302,284
Graphosoma italicum,2278,1664
Graptemys pseudogeographica,336,161
Graptopeltus lynceus,375,144
Grifola frondosa,1112,840
Grimmia pulvinata,3043,1651
Griposia aprilina,434,316
Grus grus,5251,1731
Gryllotalpa gryllotalpa,1929,422
Gryllus campestris,1947,177
Guizotia abyssinica,498,356
Gyalolechia flavovirescens,1786,920
Gymnocarpium dryopteris,382,57
Gymnocephalus cernua,1935,924
Gymnocheta viridis,405,426
Gymnopilus junonius,1095,906
Gymnopilus penetrans,682,511
Gymnopus androsaceus,489,279
Gymnopus dryophilus,489,335
Gymnopus fusipes,538,220
Gymnoscelis rufifasciata,3236,1571
Gypsonoma dealbana,843,757
Gypsophila elegans,360,344
Gypsophila vaccaria,512,493
Gyraulus albus,510,645
Gyromitra esculenta,378,220
Habrosyne pyritoides,1200,1161
Hada plebeja,673,422
Hadena bicruris,589,383
Hadena compta,525,455
Haematoloma dorsata,721,497
Haematomma ochroleucum,1090,350
Haematopota italica,303,278
Haematopota pluvialis,1064,1222
Haematopus ostralegus,5843,1973
Haemopis sanguisuga,435,310
Hagenella clathrata,420,167
Haliaeetus albicilla,5752,1572
Halichoerus grypus,5237,297
Halictus rubicundus,804,593
Halictus scabiosae,1315,643
Halyomorpha halys,1340,883
Halyzia sedecimguttata,3532,1461
Hapalopilus rutilans,670,357
Harmonia axyridis,3631,1907
Harmonia quadripunctata,2073,791
Harpalus affinis,837,678
Harpalus anxius,345,155
Harpalus rufipes,1052,1190
Harpalus tardus,547,388
Harpella forficella,1005,954
Harpocera thoracica,694,1324
Harpyia milhauseri,519,517
Hartigiola annulipes,1052,644
Hebeloma mesophaeum,309,264
Hecatera bicolorata,995,901
Hecatera dysodea,740,361
Hedera helix,5295,1751
Hedya nubiferana,1040,1137
Hedya ochroleucana,649,476
Hedya pruniana,365,322
Hedya salicella,987,901
Hedychrum nobile,643,573
Hedychrum rutilans,757,774
Helianthemum nummularium,834,86
Helianthus annuus,1187,784
Helianthus tuberosus,941,409
Helichrysum luteoalbum,4083,1714
Helicoverpa armigera,600,538
Helix pomatia,3229,612
Helleborus argutifolius,412,190
Helleborus foetidus,1407,421
Helminthotheca echioides,3310,750
Helophilus hybridus,1227,1005
Helophilus pendulus,3117,2008
Helophilus trivittatus,2218,1999
Helosciadium inundatum,682,120
Helosciadium nodiflorum,1453,411
Helotropha leucostigma,418,331
Helvella crispa,1499,1444
Helvella lacunosa,878,507
Helvella spadicea,328,56
Hemaris fuciformis,1100,471
Hemerobius humulinus,636,510
Hemerobius micans,382,277
Hemerobius stigma,480,325
Hemigrapsus sanguineus,1024,170
Hemigrapsus takanoi,482,121
Hemipenthes morio,499,236
Hemithea aestivaria,1400,1414
Hemitrichia calyculata,348,170
Henosepilachna argus,968,185
Hepialus humuli,654,425
Heptatoma pellucens,390,466
Heracleum mantegazzianum,4061,1753
Heracleum sphondylium,4903,1969
Heriades truncorum,1218,1252
Hericium coralloides,513,51
Hericium erinaceus,838,100
Herminia grisealis,1255,943
Herminia tarsicrinalis,596,660
Herminia tarsipennalis,1038,975
Herniaria glabra,2607,626
Herniaria hirsuta,445,75
Hesperia comma,793,132
Hesperis matronalis,976,729
Heterobasidion annosum,2005,838
Heterogaster urticae,1820,1041
Heterotoma planicornis,835,1256
Hibiscus syriacus,509,281
Hieracium glaucinum,590,161
Hieracium laevigatum,1999,860
Hieracium maculatum,462,153
Hieracium murorum,983,131
Hieracium sabaudum,1054,343
Hieracium umbellatum,2384,845
Hieracium vulgatum,953,392
Himacerus apterus,1735,1364
Himacerus mirmicoides,2415,1452
Himanthalia elongata,698,146
Himantoglossum hircinum,1248,127
Himantopus himantopus,2744,633
Hipparchia semele,1343,345
Hippeutis complanatus,358,424
Hippocampus hippocampus,462,160
Hippodamia tredecimpunctata,1904,739
Hippodamia variegata,1896,1082
Hippolais icterina,1995,1323
Hippolais polyglotta,686,188
Hippophae rhamnoides,4250,505
Hippuris vulgaris,2235,571
Hirschfeldia incana,1418,421
Hirundo rustica,3787,2066
Hispa atra,610,304
Hofmannophila pseudospretella,2681,1599
Holcogaster fibulata,1595,489
Holcostethus strictus,1994,1123
Holcus lanatus,3914,2035
Holcus mollis,2055,1160
Holocentropus picicornis,609,490
Holocnemus pluchei,300,163
Hololepta plana,395,188
Homalia trichomanoides,393,137
Homalothecium lutescens,445,93
Homalothecium sericeum,738,354
Homarus gammarus,356,91
Homoeosoma sinuella,549,380
Honckenya peploides,2473,191
Hoplodrina ambigua,2071,1334
Hoplodrina octogenaria,981,1028
Hordeum murinum,2827,1304
Hordeum secalinum,946,442
Hordeum vulgare,689,690
Hottonia palustris,3292,906
Houttuynia cordata,555,352
Humaria hemisphaerica,481,241
Humulus lupulus,3773,1539
Hyacinthoides hispanica,360,759
Hyacinthoides non-scripta,629,414
Hyacinthus orientalis,476,626
Hybomitra bimaculata,712,699
Hybomitra solstitialis,587,647
Hybos culiciformis,331,204
Hydaticus seminiger,354,248
Hydnellum concrescens,380,159
Hydnum repandum,788,225
Hydractinia echinata,518,111
Hydraecia micacea,989,1005
Hydrelia flammeolaria,517,331
Hydriomena furcata,374,390
Hydriomena impluviata,707,684
Hydrobius fuscipes,452,444
Hydrocharis morsus-ranae,2535,1292
Hydrocoloeus minutus,2441,743
Hydrocotyle ranunculoides,2551,513
Hydrocotyle vulgaris,3200,1112
Hydrometra stagnorum,885,637
Hydrophilus piceus,827,567
Hydroprogne caspia,2111,576
Hydropsyche angustipennis,660,312
Hydroptila sparsa,308,174
Hygrobia hermanni,574,380
Hygrocybe acutoconica,360,116
Hygrocybe coccineocrenata,495,209
Hygrocybe conica,1390,905
Hygrocybe miniata,826,452
Hygromia cinctella,2358,971
Hygrophoropsis aurantiaca,1444,820
Hygrophorus hypothejus,319,156
Hygrotus inaequalis,390,328
Hyla arborea,2838,256
Hylaea fasciaria,1534,759
Hylaeus communis,937,826
Hylaeus hyalinatus,512,432
Hylaeus signatus,377,171
Hyles euphorbiae,747,95
Hyles gallii,1113,582
Hylobius abietis,436,279
Hylocomiadelphus triquetrus,793,215
Hylocomium splendens,399,167
Hylotelephium telephium,1966,804
Hylotrupes bajulus,413,480
Hymenochaete rubiginosa,605,203
Hymenopellis radicata,1245,735
Hymenoscyphus fructigenus,504,405
Hyoscyamus niger,446,141
Hypena crassalis,442,227
Hypena proboscidalis,2291,1741
Hypena rostralis,2681,1104
Hypenodes humidalis,341,238
Hypericum dubium,979,499
Hypericum elodes,2670,345
Hypericum humifusum,1574,568
Hypericum maculatum,935,457
Hypericum perforatum,3840,1711
Hypericum pulchrum,872,118
Hypericum tetrapterum,2261,1125
Hyperphyscia adglutinata,2364,1201
Hypholoma fasciculare,2565,1316
Hypholoma lateritium,1122,621
Hyphydrus ovatus,538,494
Hypnum cupressiforme,4084,1672
Hypnum jutlandicum,1831,802
Hypocenomyce scalaris,556,193
Hypochaeris glabra,877,165
Hypochaeris radicata,4904,1892
Hypogymnia physodes,1948,716
Hypogymnia tubulosa,1030,447
Hypomecis punctinalis,1644,1445
Hypomecis roboraria,747,454
Hypomyces chrysospermus,311,274
Hypotrachyna afrorevoluta,1517,702
Hypotrachyna revoluta,1924,892
Hypoxylon fragiforme,1281,588
Hypsopygia costalis,1137,716
Hypsopygia glaucinalis,1436,976
Iassus lanio,534,621
Iberis umbellata,365,364
Ichneumon sarcitorius,831,696
Ichneumon stramentor,1069,982
Ichneumon xanthorius,1167,1019
Ichthyaetus melanocephalus,4693,1219
Ichthyosaura alpestris,3493,660
Idaea aversata,1733,1695
Idaea biselata,1416,999
Idaea dimidiata,1657,1542
Idaea emarginata,688,543
Idaea fuscovenosa,748,1020
Idaea muricata,452,295
Idaea rusticata,1225,1045
Idaea seriata,2733,1746
Idaea straminata,460,225
Idaea subsericeata,1260,965
Idotea balthica,334,103
Ilex aquifolium,5326,1648
Ilex crenata,441,232
Illecebrum verticillatum,2430,273
Illosporiopsis christiansenii,1174,770
Ilyocoris cimicoides,1617,1080
Imleria badia,1661,1168
Impatiens balfourii,790,279
Impatiens capensis,1238,330
Impatiens glandulifera,3352,1478
Impatiens noli-tangere,1302,269
Impatiens parviflora,2785,1178
Incurvaria masculella,627,922
Inocybe geophylla,715,686
Inonotus cuticularis,401,107
Inonotus obliquus,806,314
Inula britannica,1104,133
Inula helenium,582,349
Inula racemosa,643,181
Ipheion uniflorum,475,549
Ipimorpha retusa,314,281
Ipimorpha subtusa,501,489
Iris foetidissima,382,154
Iris pseudacorus,4153,1892
Isatis tinctoria,1746,527
Ischnodemus sabuleti,837,463
Ischnoderma benzoinum,848,421
Ischnoderma resinosum,430,104
Ischnura elegans,2825,2048
Ischnura pumilio,2075,1024
Isodontia mexicana,462,304
Isolepis fluitans,1402,336
Isolepis setacea,1674,612
Issoria lathonia,2783,1138
Issus coleoptratus,590,349
Iteomyia capreae,343,236
Iteomyia major,710,527
Itoplectis maculator,582,689
Jaapiella veronicae,525,269
Jackrogersella multiformis,1023,521
Jacobaea aquatica,1516,454
Jacobaea erucifolia,2426,538
Jacobaea paludosa,1726,206
Jacobaea vulgaris,5117,2073
Jamesiella anastomosans,682,326
Jasione montana,3224,1027
Jodis lactearia,1203,851
Juglans regia,2651,1213
Juncus acutiflorus,2541,934
Juncus anceps,1049,114
Juncus articulatus,2968,1599
Juncus bufonius,2776,1659
Juncus bulbosus,2445,736
Juncus compressus,1463,612
Juncus conglomeratus,2321,1231
Juncus effusus,5056,1853
Juncus gerardi,1717,416
Juncus inflexus,3433,874
Juncus maritimus,1680,118
Juncus ranarius,418,201
Juncus squarrosus,2451,591
Juncus subnodulosus,1605,399
Juncus tenuis,3622,1320
Juniperus communis,3857,497
Jynx torquilla,1768,1058
Katha depressa,1205,683
Kerria japonica,312,271
Kickxia elatine,479,93
Kiefferia pericarpiicola,312,302
Kindbergia praelonga,3494,1644
Kleidocerys resedae,3220,1679
Kleopowiella placodioides,1083,572
Knautia arvensis,2924,1002
Knautia macedonica,316,193
Knipowitschia caucasica,661,383
Koeleria albescens,958,140
Koeleria macrantha,678,152
Korscheltellus lupulina,497,530
Kretzschmaria deusta,813,416
Kuehneola uredinis,816,580
Kuehneromyces mutabilis,766,407
Kuettlingeria albolutescens,312,149
Kuettlingeria teicholyta,1014,572
Kurtiella bidentata,418,95
Labidura riparia,707,96
Lacanobia oleracea,2730,1776
Lacanobia suasa,676,352
Lacanobia thalassina,320,312
Lacanobia w-latinum,464,392
Laccaria amethystina,1483,1226
Laccaria laccata,1066,739
Laccaria proxima,906,533
Lacerta agilis,3328,280
Lacrymaria lacrymabunda,1080,899
Lactarius blennius,695,389
Lactarius chrysorrheus,480,274
Lactarius controversus,659,361
Lactarius hepaticus,790,511
Lactarius necator,662,523
Lactarius pubescens,570,380
Lactarius quietus,677,524
Lactarius rufus,366,252
Lactarius tabidus,507,361
Lactuca sativa,413,375
Lactuca serriola,3166,1598
Lactuca virosa,1177,147
Laetiporus sulphureus,3190,1537
Laevicardium crassum,1820,157
Lagis koreni,507,88
Lagurus ovatus,728,230
Lamium album,4844,1930
Lamium amplexicaule,3266,1225
Lamium galeobdolon,4458,1743
Lamium hybridum,2035,940
Lamium maculatum,3472,1235
Lamium purpureum,5056,2023
Lampetra planeri,777,57
Lampyris noctiluca,936,245
Lamyra ignea,480,247
Lamyra marginata,841,672
Lanice conchilega,1841,153
Lanius collurio,2399,985
Lanius excubitor,3417,954
Lanius senator,359,133
Laothoe populi,2211,1602
Laphria flava,943,688
Lapsana communis,4659,1906
Larinioides cornutus,1681,968
Larinioides patagiatus,358,229
Larinioides sclopetarius,1627,836
Larinus turbinatus,548,546
Larix kaempferi,803,345
Larus argentatus,5838,1626
Larus cachinnans,4984,1092
Larus canus,5794,1741
Larus fuscus,5825,1864
Larus glaucoides,1641,224
Larus hyperboreus,1951,234
Larus marinus,5268,1024
Larus michahellis,4735,856
Lasiocampa quercus,2728,840
Lasiocampa trifolii,1317,296
Lasioglossum calceatum,620,349
Lasioglossum morio,323,266
Lasioglossum sexnotatum,1032,521
Lasioglossum sexstrigatum,397,274
Lasiommata megera,2308,942
Lasiopogon cinctus,396,262
Lasioptera rubi,1141,531
Lasius brunneus,784,481
Lasius flavus,434,322
Lasius fuliginosus,2300,1203
Lasius niger,1065,610
Laspeyria flexula,1215,1190
Lateroligia ophiogramma,693,707
Lathraea clandestina,722,84
Lathronympha strigana,1075,645
Lathyrus aphaca,516,52
Lathyrus hirsutus,565,126
Lathyrus latifolius,1860,919
Lathyrus nissolia,606,277
Lathyrus oleraceus,367,293
Lathyrus palustris,920,140
Lathyrus pratensis,2670,1447
Lathyrus sylvestris,1061,190
Lathyrus tuberosus,1560,478
Lauria cylindracea,1104,398
Lavandula angustifolia,753,316
Lecanactis abietina,509,58
Lecania cyrtella,637,371
Lecania naegelii,785,434
Lecania rabenhorstii,937,577
Lecanora barkmaniana,1675,964
Lecanora campestris,2973,1373
Lecanora chlarotera,3466,1665
Lecanora expallens,1428,750
Lecanora horiza,855,458
Lecanora polytropa,817,489
Lecanora saligna,322,214
Lecanora symmicta,922,453
Leccinum aurantiacum,395,190
Leccinum duriusculum,430,198
Lecidea fuscoatra,309,135
Lecidea grisella,552,303
Lecidella elaeochroma,4091,1843
Lecidella scabra,1503,766
Lecidella stigmatea,2419,1193
Ledra aurita,1120,874
Leersia oryzoides,509,125
Legnotus limbosus,656,729
Legousia speculum-veneris,572,140
Lehmannia marginata,1265,589
Leiobunum blackwalli,351,210
Leiobunum rotundum,696,554
Lejogaster metallina,480,278
Lemna gibba,995,570
Lemna minor,2952,1621
Lemna minuta,1768,885
Lemna trisulca,2119,1058
Lemna turionifera,604,305
Lenisa geminipuncta,312,358
Lentinus tigrinus,1133,569
Lenzites betulinus,1329,554
Leocarpus fragilis,459,332
Leontodon hispidus,1040,186
Leonurus cardiaca,1569,921
Leotia lubrica,751,374
Lepidium campestre,487,147
Lepidium coronopus,1847,644
Lepidium densiflorum,343,63
Lepidium didymum,3586,1551
Lepidium draba,1401,417
Lepidium latifolium,1246,118
Lepidium ruderale,1251,392
Lepidium virginicum,1665,541
Lepidozia reptans,442,142
Lepiota cristata,710,509
Lepista nuda,1234,952
Lepomis gibbosus,1314,428
Lepra albescens,317,150
Lepra amara,367,119
Lepraria incana,2254,988
Lepraria lobificans,2148,1028
Lepraria rigidula,500,271
Leptinotarsa decemlineata,1574,1595
Leptobryum pyriforme,306,227
Leptocerus tineiformis,928,861
Leptodictyum riparium,532,370
Leptogaster cylindrica,598,613
Leptoglossus occidentalis,3366,1805
Leptophlebia vespertina,309,90
Leptophyes punctatissima,3119,1940
Leptopterna dolabrata,749,887
Leptosphaeria acuta,344,187
Leptothorax nylanderi,464,248
Leptura quadrifasciata,1306,1412
Lepus europaeus,5841,2097
Leratiomyces ceres,1180,1340
Leskea polycarpa,480,197
Lestes barbarus,1681,865
Lestes dryas,1500,573
Lestes sponsa,2010,1121
Lestes virens,2199,982
Lestica clypeata,331,216
Lestica subterranea,326,289
Leucania comma,615,468
Leucania obsoleta,832,625
Leucanthemum vulgare,3687,1860
Leucaspius delineatus,1321,766
Leuciscus aspius,1341,521
Leuciscus idus,2050,763
Leuciscus leuciscus,446,117
Leucobryum glaucum,2133,476
Leucocoprinus brebissonii,447,333
Leucojum aestivum,962,543
Leucojum vernum,674,246
Leucoma salicis,757,821
Leucorrhinia caudalis,707,217
Leucorrhinia dubia,1365,380
Leucorrhinia pectoralis,1173,669
Leucorrhinia rubicunda,1173,550
Levisticum officinale,367,338
Lewinskya affinis,1994,1055
Lewinskya striata,368,250
Leymus arenarius,1989,242
Libellula depressa,1883,1916
Libellula fulva,1366,1099
Libellula quadrimaculata,2110,1797
Lichenochora weillii,635,370
Ligdia adustata,2146,1369
Ligia oceanica,590,130
Ligustrum ovalifolium,1161,677
Ligustrum vulgare,3810,1361
Lilioceris lilii,1318,1018
Limacus flavus,1113,492
Limanda limanda,1008,181
Limax cinereoniger,828,157
Limax maximus,3412,1727
Limnaecia phragmitella,550,575
Limnephilus affinis,1169,586
Limnephilus auricula,1351,849
Limnephilus binotatus,453,303
Limnephilus decipiens,487,332
Limnephilus flavicornis,1882,1219
Limnephilus lunatus,2330,1252
Limnephilus marmoratus,1904,1238
Limnephilus rhombicus,429,261
Limnephilus vittatus,755,381
Limnodromus scolopaceus,306,60
Limonia nubeculosa,684,438
Limonium vulgare,2763,240
Limosa lapponica,5239,641
Limosa limosa,5355,1342
Limosella aquatica,1379,357
Linaria cannabina,5695,1863
Linaria flavirostris,1753,258
Linaria maroccana,761,576
Linaria purpurea,2304,893
Linaria repens,585,90
Linaria vulgaris,3593,1934
Lindenius albilabris,400,366
Lindernia dubia,501,135
Linum austriacum,358,273
Linum catharticum,2171,383
Linum usitatissimum,1504,1126
Linyphia triangularis,679,353
Liocarcinus holsatus,2215,141
Liocarcinus navigator,306,67
Liocarcinus vernalis,361,78
Liocoris tripustulatus,2563,1595
Liophloeus tessulatus,362,313
Lipandra polysperma,2115,1269
Lipara lucens,839,433
Liparis loeselii,1168,105
Lipophrys pholis,344,70
Lipoptena cervi,473,407
Liposthenes glechomae,552,563
Liriodendron tulipifera,381,218
Liriomyza amoena,367,259
Liriomyza eupatorii,441,309
Lissotriton helveticus,1170,139
Lissotriton vulgaris,5076,1944
Lithophane leautieri,339,170
Lithophane ornitopus,383,153
Lithophane semibrunnea,329,227
Lithosia quadra,653,630
Lithospermum officinale,1943,174
Littorella uniflora,1474,175
Littorina littorea,1792,317
Littorina obtusata,364,78
Littorina saxatilis,434,143
Livia junci,597,382
Lobelia erinus,940,604
Lobophora halterata,452,527
Lobularia maritima,2195,1165
Locustella fluviatilis,347,91
Locustella luscinioides,2272,526
Locustella naevia,2573,895
Logfia minima,3197,681
Loligo vulgaris,424,115
Lolium arundinaceum,718,686
Lolium giganteum,2032,507
Lolium multiflorum,2014,1227
Lolium perenne,3818,1941
Lolium pratense,953,689
Lomaspilis marginata,2028,1747
Lomographa bimaculata,758,606
Lomographa temerata,1063,825
Longitarsus dorsalis,579,331
Lonicera periclymenum,4878,1583
Lonicera pileata,884,471
Lonicera tatarica,427,373
Lonicera xylosteum,1166,514
Lophocolea bidentata,1141,606
Lophocolea heterophylla,1378,683
Lophocolea semiteres,944,327
Lophodytes cucullatus,1359,242
Lophophanes cristatus,5800,838
Loricera pilicornis,652,557
Loscopia scolopacina,321,303
Lotus corniculatus,3074,1851
Lotus pedunculatus,2948,1621
Loweia tityrus,1596,259
Loxia curvirostra,2784,764
Loxia pytyopsittacus,496,164
Lozotaenia forsterana,387,176
Lozotaeniodes formosana,862,569
Lucanus cervus,1295,134
Lucilia bufonivora,426,298
Lucilia sericata,634,585
Ludwigia grandiflora,1129,263
Ludwigia palustris,771,80
Luffia lapidella,361,204
Lullula arborea,5064,1011
Lumbriculus variegatus,302,407
Lumbricus terrestris,326,267
Lunaria annua,2638,1518
Lunaria rediviva,459,198
Lunularia cruciata,1759,716
Luperina testacea,874,1379
Lupinus polyphyllus,1806,909
Luronium natans,733,117
Luscinia megarhynchos,2372,940
Luscinia svecica,3212,1384
Lutra lutra,3286,595
Lutraria lutraria,2971,147
Luzula campestris,3273,1579
Luzula congesta,457,256
Luzula luzuloides,662,52
Luzula multiflora,1858,997
Luzula pilosa,1495,222
Luzula sylvatica,1692,342
Lycaena phlaeas,3341,2043
Lycia hirtaria,495,625
Lycium barbarum,1687,211
Lycoperdon excipuliforme,1592,1163
Lycoperdon nigrescens,313,237
Lycoperdon perlatum,1520,861
Lycoperdon pratense,369,320
Lycophotia porphyrea,1229,710
Lycopodiella inundata,3584,616
Lycopodium clavatum,1145,136
Lycopsis arvensis,2863,804
Lycopus europaeus,3923,1907
Lygocoris pabulinus,588,458
Lygus pratensis,1245,806
Lygus rugulipennis,1081,718
Lymantria dispar,2425,1848
Lymantria monacha,671,428
Lymantrichneumon disparis,323,257
Lymnaea stagnalis,3198,1469
Lymnocryptes minimus,2467,811
Lyomyces sambuci,460,280
Lyonetia clerkella,1303,645
Lyonetia prunifoliella,341,181
Lyophyllum decastes,402,289
Lysichiton americanus,382,158
Lysimachia arvensis,2780,1118
Lysimachia clethroides,320,467
Lysimachia maritima,2630,355
Lysimachia minima,733,107
Lysimachia nemorum,1074,133
Lysimachia nummularia,3651,1619
Lysimachia punctata,1331,1311
Lysimachia tenella,1758,138
Lysimachia thyrsiflora,1688,827
Lysimachia vulgaris,3244,1670
Lythria cruentaria,1972,805
Lythrum portula,2296,746
Lythrum salicaria,3423,1919
Macaria alternata,1804,1430
Macaria liturata,1956,1058
Macaria notata,1428,932
Macaria wauaria,414,251
Macaroeris nidicolens,581,261
Macdunnoughia confusa,1489,1047
Machimus atricapillus,1631,1193
Macoma balthica,2863,312
Macomangulus tenuis,1160,115
Macrochilo cribrumalis,543,583
Macrodema microptera,303,160
Macroglossum stellatarum,3019,1976
Macrolepiota excoriata,381,175
Macrolepiota procera,1711,1136
Macrolophus pygmaeus,303,201
Macrophya montana,596,966
Macropis europaea,720,823
Macrosaccus robiniella,499,266
Macrothylacia rubi,3054,718
Mactra plistoneerlandica,352,70
Mactra stultorum,2305,134
Maculinea alcon,779,59
Magallana gigas,2503,274
Mahonia aquifolium,2565,982
Maianthemum bifolium,2488,659
Malacocoris chlorizans,344,234
